"alminium",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"5.6","1507.06","0.2783437","0.1255112"
"5.61","1509.984","0.2788438","0.1252708"
"5.62","1512.909","0.2793438","0.1249962"
"5.63","1515.913","0.2798437","0.1249962"
"5.64","1519.132","0.2803437","0.124752"
"5.65","1521.953","0.2808437","0.1245804"
"5.66","1525.108","0.2813438","0.1245804"
"5.67","1528.041","0.2818438","0.1245346"
"5.68","1530.989","0.2823542","0.1245346"
"5.69","1534.017","0.2828542","0.1246872"
"5.7","1537.228","0.2833437","0.1246872"
"5.71","1540.343","0.2838438","0.1251068"
"5.72","1543.021","0.2843333","0.125721"
"5.73","1545.93","0.2848333","0.126358"
"5.74","1548.998","0.2853229","0.126358"
"5.75","1551.803","0.2858229","0.1268158"
"5.76","1555.053","0.2863125","0.1268158"
"5.77","1558.28","0.2868229","0.1270332"
"5.78","1560.855","0.2873229","0.1270332"
"5.79","1563.358","0.2878229","0.1271019"
"5.8","1566.601","0.2883229","0.1271973"
"5.81","1569.716","0.2888229","0.1274223"
"5.82","1572.736","0.2893229","0.1274223"
"5.83","1575.955","0.2898229","0.1277695"
"5.84","1579.07","0.2903229","0.1277695"
"5.85","1581.693","0.2908333","0.1281509"
"5.86","1584.856","0.2913437","0.1281509"
"5.87","1587.462","0.2918437","0.1285324"
"5.88","1590.037","0.2923542","0.1289139"
"5.89","1593.2","0.2928646","0.1289139"
"5.9","1596.197","0.2933646","0.1292419"
"5.91","1599.415","0.2938646","0.1294136"
"5.92","1602.483","0.2943542","0.1294136"
"5.93","1605.479","0.2948542","0.1293526"
"5.94","1608.443","0.2953438","0.1293526"
"5.95","1611.543","0.2958438","0.1291885"
"5.96","1614.404","0.2963437","0.1291046"
"5.97","1616.589","0.2968437","0.1291046"
