"SS400_3",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"4.71","1526.308","0.2338125","0.1093216"
"4.72","1530.115","0.2343125","0.1093216"
"4.73","1534.184","0.2348125","0.1095963"
"4.74","1537.569","0.2353125","0.1098251"
"4.75","1541.289","0.2358229","0.1098251"
"4.76","1545.064","0.2363229","0.109993"
"4.77","1548.648","0.2368333","0.109993"
"4.78","1552.304","0.2373333","0.1101189"
"4.79","1555.959","0.2378438","0.1102257"
"4.8","1559.663","0.2383437","0.1102257"
"4.81","1563.597","0.2388542","0.1103134"
"4.82","1567.443","0.2393542","0.1103554"
"4.83","1571.322","0.2398542","0.1103554"
"4.84","1575.017","0.2403437","0.1103287"
"4.85","1578.561","0.2408437","0.1103287"
"4.86","1582.471","0.2413438","0.1102142"
"4.87","1586.175","0.2418437","0.1100349"
"4.88","1590.156","0.2423438","0.1100349"
"4.89","1593.661","0.2428437","0.1098022"
"4.9","1597.198","0.2433437","0.1095963"
"4.91","1600.83","0.2438437","0.1095963"
"4.92","1604.764","0.2443437","0.1095276"
"4.93","1608.483","0.2448438","0.1095276"
"4.94","1612.21","0.2453437","0.1096382"
"4.95","1615.898","0.2458438","0.1098518"
"4.96","1619.363","0.2463437","0.1098518"
"4.97","1623.122","0.2468542","0.1100197"
"4.98","1626.793","0.2473542","0.1100197"
"4.99","1630.783","0.2478542","0.1100693"
"5","1634.24","0.2483542","0.1099892"
"5.01","1637.864","0.2488646","0.1099892"
"5.02","1641.289","0.2493646","0.1098328"
"5.03","1645.295","0.2498542","0.109684"
"5.04","1649.475","0.2503542","0.109684"
"5.05","1653.314","0.2508437","0.1096077"
"5.06","1656.715","0.2513438","0.1096077"
"5.07","1660.22","0.2518333","0.1095963"
"5.08","1664.011","0.2523333","0.1096268"
"5.09","1667.643","0.2528229","0.1096268"
"5.1","1671.131","0.2533229","0.1096649"
"5.11","1674.565","0.2538229","0.1097069"
"5.12","1678.324","0.2543229","0.1097069"
"5.13","1682.107","0.2548229","0.1097641"
"5.14","1685.683","0.2553229","0.1097641"
"5.15","1689.363","0.2558333","0.1098137"
"5.16","1692.653","0.2563333","0.1098175"
"5.17","1696.062","0.2568333","0.1098175"
"5.18","1699.837","0.2573437","0.1098137"
"5.19","1703.596","0.2578437","0.1098824"
"5.2","1707.363","0.2583438","0.1098824"
"5.21","1711.313","0.2588542","0.1100845"
